"Question","Answer","Difficulty","Marks"
"What shape has exactly 5 sides?","Pentagon","1","1"
"How many vertices does a cube have?","8","1","1"
"What is 347 + 198?","545","1","1"
"What is 72 divided by 9?","8","1","1"
"Convert 3/4 to a decimal.","0.75","1","1"
"How many rupees are in 7 ten-rupee notes?","70","1","1"
"How many centimeters are in 1 meter?","100","1","1"
"What is the mode of these numbers: 5, 3, 8, 5, 7, 5?","5","1","1"
"What comes next in the pattern: 3, 6, 9, 12, _?","15","1","1"
"What 3D shape has 6 identical square faces?","Cube","1","1"
"What is 583 − 247?","336","1","1"
"What is 7 × 23?","161","1","1"
"What is half of 86?","43","1","1"
"What fraction of 24 is 6?","1/4","1","1"
"How many 25 paise coins make 5 rupees?","20","1","1"
"How many millimeters are in 5 centimeters?","50","1","1"
"What is the median of 12, 15, 9, 14, 11?","12","1","1"
"What shape is formed when a circle is folded in half?","Semicircle","1","1"
"How many edges does a rectangular prism have?","12","2","2"
"What is 375 + 268?","643","1","1"
"What is 47 × 11?","517","2","2"
"What is 1/3 + 1/6?","1/2","2","2"
"If an item costs ₹125 and you give ₹200, how much change will you receive?","₹75","1","1"
"How many kilometers in 2500 meters?","2.5","1","1"
"What is the range of 7, 12, 9, 15, 8?","8","2","2"
"What comes next: 2, 5, 10, 17, _?","26","2","2"
"What is the name for a quadrilateral with exactly one pair of parallel sides?","Trapezoid","2","2"
"What is 5004 − 2879?","2125","2","2"
"What is 84 ÷ 12?","7","1","1"
"Calculate mentally: 150 × 12","1800","2","2"
"Express 7/10 as a percentage.","70%","2","2"
"How many 50 paise coins are equivalent to ₹17.50?","35","2","2"
"Convert 5.2 km to meters.","5200","1","1"
"Find the mean of 18, 23, 16, 21, 22.","20","2","2"
"If a pattern increases by 4, then 7, then 10, what comes after 26?","36","2","2"
"What is the line of symmetry called in a kite?","Diagonal","2","2"
"What is 1489 + 3256?","4745","2","2"
"What is 72 × 15?","1080","2","2"
"What is 3/7 of 49?","21","2","2"
"If 5 pencils cost ₹45, how much will 8 pencils cost?","₹72","2","2"
"Convert 425 cm to meters.","4.25","2","2"
"What is the probability of rolling a 3 on a standard dice?","1/6","2","2"
"What number comes next: 1, 4, 9, 16, 25, _?","36","2","2"
"What is the perpendicular distance from any point on a circle to its center called?","Radius","2","2"
"What is 4386 − 2597?","1789","2","2"
"What is 216 ÷ 8?","27","2","2"
"Calculate 1/2 + 1/3 + 1/6.","1","2","2"
"How many paise in ₹12.75?","1275","2","2"
"How many meters in 0.25 km?","250","2","2"
"What is the mode of 4, 7, 9, 4, 3, 8, 4, 5?","4","2","2"
"If a pattern follows 3, 6, 12, 24, what number comes next?","48","2","2"
"What 3D shape has a polygon base and triangular lateral faces?","Pyramid","2","2"
"What is 3784 + 5925?","9709","2","2"
"Calculate 134 × 25 mentally.","3350","3","3"
"What is 2/3 of 2/5?","4/15","3","3"
"If a shirt costs ₹460 after a 20% discount, what was the original price?","₹575","3","3"
"How many meters in 3.45 km + 275 m?","3725","2","2"
"If the probability of an event is 0.35, what is the probability it won't happen?","0.65","2","2"
"What comes next in the sequence: 1, 3, 6, 10, 15, _?","21","2","2"
"What is the dual (opposite) polyhedron of a cube?","Octahedron","3","3"
"What is 5728 − 3849?","1879","2","2"
"What is 17 × 23?","391","2","2"
"What is 5/8 − 2/8?","3/8","2","2"
"If 3 notebooks cost ₹96, how much will 7 notebooks cost?","₹224","2","2"
"Convert 4.8 m to centimeters.","480","2","2"
"What is the median of 15, 18, 12, 20, 21, 13, 14?","15","2","2"
"What number would complete this pattern: 2, 6, 18, 54, _?","162","3","3"
"What is the name of a quadrilateral with all sides equal but angles not all equal?","Rhombus","2","2"
"Calculate 8743 + 5296.","14039","3","3"
"What is 144 ÷ 16?","9","2","2"
"What is 2/5 + 3/10?","7/10","3","3"
"If a book costs ₹175 with 30% discount, what was its original price?","₹250","3","3"
"How many centimeters in 4 m 35 cm?","435","2","2"
"What is the range of 24, 16, 35, 28, 19, 31?","19","2","2"
"Find the next number: 2, 5, 11, 23, 47, _?","95","3","3"
"What is the minimum number of faces a polyhedron can have?","4","3","3"
"What is 7832 − 4975?","2857","3","3"
"Calculate 256 × 12 mentally.","3072","3","3"
"What decimal is equivalent to 7/16?","0.4375","3","3"
"How many ₹5 coins are needed to make ₹365?","73","2","2"
"How many millimeters in 0.85 meters?","850","2","2"
"Calculate the mean of 22, 19, 25, 30, 17, 27.","23.33","3","3"
"What comes next: 1, 4, 13, 40, _?","121","3","3"
"What is the sum of interior angles in a pentagon?","540°","3","3"
"What is 6583 + 7249?","13832","3","3"
"Calculate 1728 ÷ 36.","48","3","3"
"What is 2 3/4 − 1 5/8?","1 1/8","3","3"
"If a shopkeeper gives a discount of 15% on ₹840, how much discount is given?","₹126","3","3"
"Convert 7.75 km to meters and centimeters.","7750 m","3","3"
"If the probability of an event is 2/7, what fraction represents it not happening?","5/7","3","3"
"Find the next term: 4, 12, 36, 108, _?","324","3","3"
"What 3D shape has 2 circular faces and 1 curved surface?","Cylinder","2","2"
"What is 3958 − 2789?","1169","3","3"
"What is 4/7 × 3/8?","12/56","3","3"
"How many 25-paise coins equal ₹127.50?","510","3","3"
"Convert 6 km 85 m to cm.","608500","3","3"
"The angles in a triangle are in the ratio 2:3:4. What is the largest angle?","80°","3","3"
"What comes next: 3, 8, 15, 24, 35, _?","48","3","3"
"What type of triangle has all sides of different lengths?","Scalene","2","2"
"What is the area of a square with perimeter 36 cm?","81 cm²","3","3"